('dólar', 'n') 1.0
('cotización', 'n') 0.34893158412693076
('devaluación', 'n') 0.2828758419027704
('manifestando', 'n') 0.2611166031224398
('expectativa', 'n') 0.251259331391837
('rebote', 'n') 0.23618859602858172
('pesosanluego', 'n') 0.21759734086574473
('gato', 'n') 0.21759720830247645
('taquilla', 'n') 0.21759710426541734
('altibajos', 'n') 0.21759705202404292
('cambiario', 'n') 0.2175969772525356
('crecimiento', 'n') 0.2174908226430977
('peso', 'n') 0.19585245124631784
('inflación', 'n') 0.19405158679845183
('tendencia', 'n') 0.1926684576038632
('tasa', 'n') 0.19245903851999105
('interés', 'n') 0.19139754709678727
('ciento', 'n') 0.17587145372488333
('cambiaria', 'n') 0.17407755409048437
('atacaría', 'n') 0.17407746689325815
('estabilidad', 'n') 0.1672483455741293
('economía', 'n') 0.16125952900158314
('presupuestario', 'n') 0.15569956404084004
('función', 'n') 0.15531515311220356
('resto', 'n') 0.15075555720805373
('parte', 'n') 0.14272451026235214
('inyectado', 'n') 0.13055822261276598
('variación', 'n') 0.13055821834324016
('cierne', 'n') 0.1305582130990944
('cartulina', 'n') 0.13055819513411454
('vislumbra', 'n') 0.1305581837264064
('agobiados', 'n') 0.13055810094426243
('eficacia', 'n') 0.12665992966273185
('año', 'n') 0.12473391225729902
('medida', 'n') 0.12419874468584396
('nivel', 'n') 0.12373545375479135
('obstáculo', 'n') 0.12309139284783291
('estancamiento', 'n') 0.12309132245297115
('emisora', 'n') 0.12258600217598582
('recuperación', 'n') 0.11993943614036404
('normalidad', 'n') 0.11677478134368376
('empleado', 'n') 0.11631059100552972
('clima', 'n') 0.11631051785560118
('cambio', 'n') 0.1145068508826698
('dinero', 'n') 0.11404247415292786
('comportamiento', 'n') 0.11313887691842257
('huelga', 'n') 0.11236654941856386
('negocio', 'n') 0.11053945409290794
('colombia', 'n') 0.1100963119661974
('sector', 'n') 0.10855637897616058
('mundo', 'n') 0.10731839926173468
('momento', 'n') 0.10695714845907912
('orden', 'n') 0.10660031487863617
('especialidad', 'n') 0.10660028744735328
('estrategia', 'n') 0.10606052309736975
('mes', 'n') 0.10487578134172029
('monto', 'n') 0.1044891838341082
('trimestre', 'n') 0.10322948031552433
('mecanismo', 'n') 0.10257630216060236
('corriente', 'n') 0.10257611986052637
('final', 'n') 0.10050373966498234
('primaria', 'n') 0.10050373943101068
('operador', 'n') 0.10050373593538081
('éxito', 'n') 0.10050372333638714
('prestación', 'n') 0.09984031779852132
('recurso', 'n') 0.09953302134578161
('argentina', 'n') 0.09869268773712382
('riesgo', 'n') 0.09869268127054517
('brasil', 'n') 0.09869266774370755
('pago', 'n') 0.09848466221027856
('incremento', 'n') 0.09791853742009989
('acuerdo', 'n') 0.0973125357377428
('precio', 'n') 0.09677827119490733
('empresa', 'n') 0.09551492331431374
('torno', 'n') 0.09534613639096062
('esquema', 'n') 0.09499483008585806
('extremo', 'n') 0.0949670163021876
('promedio', 'n') 0.09401257567581234
('millón', 'n') 0.09269167165516828
('acusación', 'n') 0.09231856446246625
('ser', 'n') 0.09231851022982278
('deuda', 'n') 0.09185155579010058
('país', 'n') 0.09154486265614675
('situación', 'n') 0.09147681714215637
('rendimiento', 'n') 0.09074420096999147
('méxico', 'n') 0.08856024396140129
('mercado', 'n') 0.08841480129718238
('término', 'n') 0.08794073830847396
('suma', 'n') 0.08703885228890963
('atractivo', 'n') 0.08703881611775954
('desfase', 'n') 0.08703881504922198
('imprecisas', 'n') 0.08703881288661224
('capitalizando', 'n') 0.08703880624409266
('cálculo', 'n') 0.08703880433971879
('tesoro', 'n') 0.08703880244690029
('contribuya', 'n') 0.08703880138061716
('buscaremos', 'n') 0.08703879999062379
('ladrón', 'n') 0.08703879966921581
('siento', 'n') 0.08703879774729925
('estancia', 'n') 0.08703878975634627
('deshabitadas', 'n') 0.08703878935287854
('liberación', 'n') 0.0870387874401251
('instrumentadas', 'n') 0.08703878626112514
('capitaliza', 'n') 0.08703878479542264
('índice', 'n') 0.08703878465895905
('divisa', 'n') 0.08703878171532071
('seno', 'n') 0.087038780414446
('primarias', 'n') 0.08703877983779205
('óptima', 'n') 0.08703877763916133
('insolvencia', 'n') 0.0870387774635544
('reestructurado', 'n') 0.08703877744269023
('parálisis', 'n') 0.08703877225261086
('padrón', 'n') 0.0870387696944502
('recorte', 'n') 0.08703876911501934
('fundamentado', 'n') 0.08703876528728503
('nómina', 'n') 0.0870387618983275
('drástica', 'n') 0.08703875886860062
('afirmación', 'n') 0.08703875837012254
('histérica', 'n') 0.08703875446566212
('vuelta', 'n') 0.08703875076967685
('antimigratoria', 'n') 0.08703874955009937
('regalía', 'n') 0.08703874576889091
('abuelo', 'n') 0.08703874354045275
('debilidad', 'n') 0.08703873461018485
('cuesta', 'n') 0.08703872907249405
('sustitución', 'n') 0.087038728574462
('traduzca', 'n') 0.08703871860483081
('dominando', 'n') 0.08703870151810046
('exportadores', 'n') 0.08703869906061747
('encerrados', 'n') 0.08703869702311982
('altísimo', 'n') 0.08703869632948799
('predomina', 'n') 0.08703869450973845
('especulativos', 'n') 0.08703869046005196
('manifestación', 'n') 0.08703868964287885
('ayuno', 'n') 0.08703868317470481
('multitud', 'n') 0.08703868074274243
('estrago', 'n') 0.08703868045466992
('inflacionario', 'n') 0.08703867931654839
('costa', 'n') 0.08703867785685653
('marginado', 'n') 0.08703866978158814
('altar', 'n') 0.08703866644609838
('jurando', 'n') 0.08703866353942619
('quincena', 'n') 0.0870386586793941
('entusiasmo', 'n') 0.08703865665116554
('morada', 'n') 0.08703865621054664
('cortina', 'n') 0.08703865521969979
('predecirla', 'n') 0.08703864993121634
('mitad', 'n') 0.08585448558168918
('costo', 'n') 0.08447080978662104
('modificación', 'n') 0.08443999737244497
('déficit', 'n') 0.08443997860387129
('emisión', 'n') 0.0825722280861012
('especialista', 'n') 0.08206091452663875
('trabajador', 'n') 0.08191945960942192
('dato', 'n') 0.08187942488034286
('caso', 'n') 0.08008015046958894
('problema', 'n') 0.07948929264073167
('resultado', 'n') 0.07884150733237244
('condición', 'n') 0.07872957531790938
('organismo', 'n') 0.0786565756808417
('liquidados', 'n') 0.0778498666719353
('retroactivo', 'n') 0.07784986510272673
('jubilado', 'n') 0.07784986490840842
('sumario', 'n') 0.07784985281931894
('disminución', 'n') 0.0778498486084823
('india', 'n') 0.07784982081545659
('efervescencia', 'n') 0.07784978980624732
('efecto', 'n') 0.07784977449552347
('aguirre', 'n') 0.07784977039310942
('valor', 'n') 0.07690267912366756
('lugar', 'n') 0.07676101540180927
('casa', 'n') 0.07617547819314237
('relación', 'n') 0.0757575361761398
('responsabilidad', 'n') 0.07575750453117988
('semestre', 'n') 0.07537792939078036
('obligación', 'n') 0.07537785025482945
('larios', 'n') 0.07537780772472116
('levantamiento', 'n') 0.07537779761764637
('estima', 'n') 0.07537779579814262
('fenómeno', 'n') 0.07537778874811608
('legislador', 'n') 0.07537778627649766
('rubin', 'n') 0.07537778267237132
('influencia', 'n') 0.0753777772064043
('motivo', 'n') 0.07463511083307552
('ejecutivo', 'n') 0.0746350742124851
('hectárea', 'n') 0.07410543125690405
('control', 'n') 0.07401944054580259
('materia', 'n') 0.07278555208840345
('papel', 'n') 0.07259541874558757
('sufrimiento', 'n') 0.07242060763253465
('caída', 'n') 0.07154546132321701
('abandono', 'n') 0.07106687731842348
('demanda', 'n') 0.07006498657567224
('secreto', 'n') 0.0697862824055718
('fantasma', 'n') 0.0697862377815234
('playa', 'n') 0.06968681499214331
('compromiso', 'n') 0.06968677763899042
('unidad', 'n') 0.06963117993815052
('crisis', 'n') 0.06923891673076601
('área', 'n') 0.06881017592869786
('analista', 'n') 0.06827879533089448
('gobierno', 'n') 0.06796816628995157
('consumo', 'n') 0.06769689668589784
('reflexión', 'n') 0.06741993692487712
('sitio', 'n') 0.06741993383325356
('medio', 'n') 0.06741991855780066
('grupo', 'n') 0.06741965984583284
('leche', 'n') 0.06714254409197223
('grasa', 'n') 0.0663664290352039
('instituto', 'n') 0.06579513887895719
('insumos', 'n') 0.0657951221722153
('salario', 'n') 0.06573725551118288
('chapa', 'n') 0.06527906196945799
('incumplimiento', 'n') 0.0648749126656443
('venta', 'n') 0.06458268001134412
('fondo', 'n') 0.0645177083584152
('confianza', 'n') 0.06356418286072439
('futuro', 'n') 0.0635641516798964
('oficina', 'n') 0.06356411047933146
('presión', 'n') 0.0635641091664434
('embargo', 'n') 0.06330096544359003
('banco', 'n') 0.06292031640896671
('banca', 'n') 0.0628417388333286
('circunstancia', 'n') 0.0625305209874952
('banquero', 'n') 0.06253050855248161
('respecto', 'n') 0.06241877176344139
('base', 'n') 0.06218354345179588
('plazo', 'n') 0.06154586060232099
('minuto', 'n') 0.0615457373948111
('villegas', 'n') 0.06154573706880439
('ritmo', 'n') 0.061545723373000474
('utópica', 'n') 0.06154572176509648
('pagados', 'n') 0.06154571812899461
('distintivo', 'n') 0.061545717741450776
('precepto', 'n') 0.06154571168362379
('reactivación', 'n') 0.06154570976267028
('alimentación', 'n') 0.06154570959516405
('encarecimiento', 'n') 0.06154570701186266
('fuego', 'n') 0.06154570582225167
('docto', 'n') 0.0615457045852594
('afán', 'n') 0.06154569484896135
('modo', 'n') 0.06154569046202165
('precisión', 'n') 0.061545689588048014
('españa', 'n') 0.06154568296832881
('recinto', 'n') 0.06154565168347735
('producción', 'n') 0.0611227334304901
('quiebra', 'n') 0.06035058011630431
('producto', 'n') 0.06020627457854128
('legislativa', 'n') 0.059904183296697666
('participación', 'n') 0.05970811671108655
('funcionario', 'n') 0.05951394721052694
('pib', 'n') 0.05922241134623001
('negociación', 'n') 0.05917768828948962
('cartera', 'n') 0.059047960526125244
('bolsa', 'n') 0.058755919865037635
('cifra', 'n') 0.05868168602497047
('voz', 'n') 0.05838738856640393
('actualidad', 'n') 0.058387381112682796
('figura', 'n') 0.05838735021889073
('fin', 'n') 0.05835767587931169
('réditos', 'n') 0.05802586445219786
('tope', 'n') 0.058025849087532666
('gasolina', 'n') 0.05802583866361081
('productividad', 'n') 0.058025827354927645
('embate', 'n') 0.05802578438519637
('mano', 'n') 0.057829526369406456
('sociedad', 'n') 0.05767099372393265
('mayoría', 'n') 0.05767084217810559
('desempleo', 'n') 0.05764291598015266
('partido', 'n') 0.057315483888383666
('capital', 'n') 0.057315348626539205
('grado', 'n') 0.057236314487195655
('liquidación', 'n') 0.05714384486300756
('semana', 'n') 0.056241718105345576
('cosa', 'n') 0.0561832741155875
('acción', 'n') 0.055835860415098575
('sistema', 'n') 0.05574994191990825
('etapa', 'n') 0.05574944387596123
('ernesto', 'n') 0.05567023670574009
('asueto', 'n') 0.05504817599815278
('racha', 'n') 0.05504816789086629
('hormiga', 'n') 0.05504814154129495
